"Player","Team","REC","YDS","TDS","ATT","YDS","TDS","FL","FPTS"
"Marvin Mims Jr.","DEN","24.2","272.4","1.6","8.2","45.1","0.3","0.4","42.6"
"Dontayvion Wicks","PHI","24.3","310.0","1.8","0.0","0.0","0.0","0.3","41.2"
"Xavier Hutchinson","HOU","23.2","281.0","1.9","2.1","14.2","0.0","0.1","40.8"
"Calvin Austin III","NYG","20.0","268.2","2.2","0.0","0.0","0.0","0.0","40.1"
"Keon Coleman","BUF","19.4","266.0","2.3","0.0","0.0","0.0","0.2","39.7"
"Elijah Sarratt","BAL","19.5","294.6","1.8","0.0","0.0","0.0","0.2","39.7"
"Olamide Zaccheaus","ATL","30.1","277.1","1.8","1.5","9.5","0.0","0.1","39.4"
"Jahdae Walker","CHI","17.1","225.8","2.7","0.5","3.5","0.0","0.0","38.9"
"DeMario Douglas","NE","22.7","271.1","1.5","4.1","21.4","0.2","0.3","38.6"
"Nick Westbrook-Ikhine","IND","21.7","269.6","2.0","0.0","0.0","0.0","0.2","38.5"
"Jaylin Lane","WAS","22.7","279.2","1.8","0.0","0.0","0.0","0.2","38.1"
"Cedric Tillman","CLE","18.5","234.6","2.1","0.0","-0.5","0.0","0.0","36.0"
"Tutu Atwell","MIA","20.4","291.7","0.5","2.2","11.3","0.1","0.2","33.0"
"Demarcus Robinson","SF","15.5","219.0","1.5","0.5","2.5","0.0","0.0","31.2"
"Kevin Coleman Jr.","MIA","21.1","270.5","0.7","0.0","0.0","0.0","0.2","30.6"
"Cyrus Allen","KC","16.2","202.8","1.3","0.0","0.0","0.0","0.2","27.6"
"Skyler Bell","BUF","15.1","205.5","1.2","0.0","0.0","0.0","0.2","27.5"
"Kendrick Bourne","ARI","22.8","239.4","0.7","0.0","0.0","0.0","0.2","27.5"
"Kalif Raymond","CHI","19.2","187.0","0.9","4.6","27.2","0.2","0.2","27.3"
"Jordan Whittington","LAR","15.0","171.9","1.2","2.3","12.1","0.1","0.2","26.1"
"Bryce Lance","NO","16.4","204.4","0.9","0.0","0.0","0.0","0.2","25.7"
"Devontez Walker","BAL","11.6","166.4","1.2","0.0","0.0","0.0","0.1","23.5"
