QUARTERBACK PPR PROJECTIONS,,,,,,RUNNING BACK PPR PROJECTIONS,,,,,,WIDE RECEIVER PPR PROJECTIONS (SEASON LONG),,,,,,TIGHT END PPR PROJECTIONS (SEASON LONG),,,,,
Rank,Quarterback,Projection,FPPG,TOT YPG,TD/G,Rank,Running Back,Projection,FPPG,TOT YPG,TD/G,Rank,Wide Receiver,Projection,FPPG,TOT YPG,TD/G,Rank,Tight End,Projection,FPPG,YPG,TOT YPG
37,MARCUS MARIOTA,93,5.8,0.0,0.0,37,WOODY MARKS,132.7,8.3,43.0,0.4,37,CARNELL TATE,167,9.8,47.2,0.4,37,TOMMY TREMBLE,67,4.0,16.4,0.1
38,JAKE BROWNING,92,5.8,0.0,0.0,38,ZACH CHARBONNET,131.1,8.2,47.3,0.4,38,MALIK WASHINGTON,167,9.8,41.4,0.2,38,JA'TAVION SANDERS,63,3.7,14.4,0.1
39,MASON RUDOLPH,89,5.6,0.0,0.0,39,TONY POLLARD,129.7,8.1,50.0,0.4,39,KHALIL SHAKIR,166,9.8,42.4,0.3,39,NOAH GRAY,60,3.6,14.6,0.1
40,MITCHELL TRUBISKY,75,4.7,0.0,0.0,40,BLAKE CORUM,126.1,7.9,40.9,0.5,40,MICHAEL WILSON,164,9.6,46.8,0.2,40,DARNELL WASHINGTON,60,3.6,15.2,0.1
,,,,,,41,JONATHAN BROOKS,125.1,7.8,43.6,0.3,41,JAYDEN REED,163,9.6,44.7,0.3,41,JAKE TONGES,58,3.4,12.9,0.1
,,,,,,42,KYLE MONANGAI,123.9,7.7,43.6,0.4,42,BRIAN THOMAS JR,162,9.5,45.2,0.3,42,ELI STOWERS,53,3.1,12.3,0.1
,,,,,,43,TYJAE SPEARS,121.1,7.6,42.4,0.3,43,XAVIER WORTHY,161,9.5,47.2,0.3,43,MICHAEL MAYER,50,2.9,11.9,0.1
,,,,,,44,JORDAN MASON,120.7,7.5,45.1,0.4,44,PARKER WASHINGTON,161,9.4,45.2,0.3,44,TYLER HIGBEE,50,2.9,12.9,0.1
,,,,,,45,JK DOBBINS,118.6,7.4,43.3,0.4,45,ALEC PIERCE,160,9.4,49.5,0.3,45,DREW SAMPLE,38,2.2,8.1,0.1
,,,,,,46,TYRONE TRACY JR,111.9,7.0,38.3,0.3,46,WAN'DALE ROBINSON,156,9.2,43.1,0.2,46,NOAH FANT,38,2.2,9.3,0.0
,,,,,,47,CHRIS RODRIGUEZ JR,104.1,6.5,38.8,0.4,47,JALEN COKER,152,8.9,41.0,0.3,47,JOSH OLIVER,33,1.9,8.4,0.0
,,,,,,48,DYLAN SAMPSON,86.2,5.4,28.5,0.2,48,MATTHEW GOLDEN,148,8.7,40.0,0.3,48,DANIEL BELLINGER,30,1.7,8.2,0.0
,,,,,,49,KEATON MITCHELL,85.9,5.4,27.7,0.2,49,TANK DELL,146,8.6,41.4,0.2,49,MO ALIE-COX,29,1.7,6.8,0.1
,,,,,,50,JUSTICE HILL,83.0,5.2,24.1,0.2,50,QUENTIN JOHNSTON,142,8.3,38.3,0.3,50,JOHN BATES,27,1.6,6.5,0.1
,,,,,,51,TYLER ALLGEIER,78.7,4.9,31.1,0.3,51,JAYDEN HIGGINS,141,8.3,39.1,0.2,51,ERIC SAUBERT,27,1.6,6.2,0.0
,,,,,,52,ISIAH PACHECO,72.9,4.6,25.0,0.3,52,RASHOD BATEMAN,141,8.3,37.1,0.3,52,AUSTIN HOOPER,26,1.5,7.4,0.0
,,,,,,53,MARSHAWN LLOYD,70.4,4.4,22.3,0.2,53,JORDAN ADDISON,137,8.1,43.1,0.2,53,BLAKE WHITEHEART,23,1.4,5.5,0.0
,,,,,,54,SAMAJE PERINE,63.1,3.9,19.4,0.2,54,CALVIN RIDLEY,135,8.0,34.9,0.2,54,ADAM TRAUTMAN,22,1.3,5.6,0.0
,,,,,,55,TANK BIGSBY,62.2,3.9,22.3,0.2,55,TRE HARRIS,131,7.7,33.8,0.2,55,PAYNE DURHAM,22,1.3,5.5,0.0
