RK,Player,TM,BYE,PASS ATT,COMP,PASS YARDS,PASS TD,INT,RUSH ATT,RUSH YARDS,RUSH TD,FPS,AUC$,,RK,Player,TM,BYE,RUSH ATT,RUSH YARDS,RUSH TD,TGTS,REC,RECV YARDS,RECV TD,FPS,AUC$,,RK,Player,TM,BYE,RUSH YARDS,RUSH TD,TGTS,REC,RECV YARDS,RECV TD,FPS,AUC$,,RK,Player,TM,BYE,TGTS,REC,RECV YARDS,RECV TD,FPS,AUC$,AUC Calc
30,Geno Smith,NYJ,13,516,353,3634,20,15,42,141,1,214.1,$0,,30,Bucky Irving,TB,10,169,676,4,54,47,393,3,171.2,$12,,30,Alec Pierce,IND,13,0,0,117,63,1045,6,172.6,$19,,30,Gunnar Helm,TEN,9,62,44,378,3,77.9,$0,$0
31,Kirk Cousins,LV,13,361,231,2421,13,9,2,3,0,132.5,$0,,31,Rico Dowdle,PIT,9,213,926,6,33,26,197,1,168.6,$11,,31,Parker Washington,JAX,7,23,0,117,73,955,6,172.1,$19,,31,David Njoku,LAC,7,54,39,407,3,77.2,$0,$0
32,Shedeur Sanders,CLE,11,252,149,1653,9,9,31,216,1,114.6,$0,,32,RJ Harvey,DEN,10,142,577,5,60,48,339,3,166.1,$11,,32,Courtland Sutton,DEN,10,0,0,123,70,931,7,170.4,$18,,32,Evan Engram,DEN,10,62,42,375,2,71.1,$0,$0
33,Deshaun Watson,CLE,11,242,147,1612,9,6,33,145,1,109.1,$0,,33,Jaylen Warren,PIT,9,182,803,5,50,40,295,1,165.5,$11,,33,Makai Lemon,PHI,10,26,0,109,74,918,6,169.4,$18,,33,Mason Taylor,NYJ,13,51,39,326,2,64.6,$0,$0
34,Fernando Mendoza,LV,13,194,121,1332,8,5,39,176,2,102.1,$0,,34,Kyle Monangai,CHI,10,176,759,7,31,22,166,1,147.6,$8,,34,Jordan Addison,MIN,6,36,0,113,72,936,6,168.5,$18,,34,Darnell Washington,PIT,9,44,31,340,2,63.3,$0,$0
35,Michael Penix,ATL,11,58,35,410,2,1,17,60,1,33.6,$0,,35,Jordan Mason,MIN,6,175,796,7,13,10,61,0,132.3,$5,,35,Marvin Harrison,ARI,14,0,0,127,70,957,6,167.7,$18,,35,Dawson Knox,BUF,7,40,28,313,3,61.5,$0,$0
36,Anthony Richardson,IND,13,27,15,196,1,0,23,119,1,30.7,$0,,36,Blake Corum,LAR,11,156,744,7,21,13,81,1,132.2,$5,,36,Jordyn Tyson,NO,8,0,0,115,71,918,6,163.7,$17,,36,Colby Parkinson,LAR,11,40,29,277,3,61.1,$0,$0
37,Justin Fields,KC,5,30,19,188,1,0,6,33,0,16.0,$0,,37,Aaron Jones,MIN,6,155,643,4,40,30,216,1,130.9,$5,,37,DK Metcalf,PIT,9,0,0,121,66,935,6,162.9,$17,,37,Ja'Tavion Sanders,CAR,5,43,32,255,2,53.2,$0,$0
38,Marcus Mariota,WSH,7,25,17,192,1,1,5,32,0,15.3,$0,,38,Emanuel Wilson,SEA,11,150,647,5,25,19,155,1,127.2,$4,,38,Michael Pittman,PIT,9,0,0,133,85,861,5,161.4,$16,,38,Noah Gray,KC,5,37,26,252,2,49.4,$0,$0
39,Tyler Huntley,BAL,13,24,17,177,1,0,5,24,0,13.8,$0,,39,Rachaad White,WSH,7,108,458,3,51,41,283,2,124.0,$3,,39,Quentin Johnston,LAC,7,0,0,105,59,850,7,159.2,$16,,39,Cole Kmet,CHI,10,35,23,252,2,47.6,$0,$0
40,J.J. McCarthy,MIN,6,27,16,195,1,1,2,10,0,12.9,$0,,40,Jacory Croskey-Merritt,WSH,7,151,682,6,20,15,109,0,123.7,$3,,40,Ricky Pearsall,SF,8,14,0,100,64,936,4,153.6,$15,,40,Michael Mayer,LV,13,37,25,245,2,46.3,$0,$0
41,Joe Flacco,CIN,6,32,20,206,1,1,0,0,0,12.7,$0,,41,Chris Rodriguez,JAX,7,163,711,6,15,10,69,0,122.0,$3,,41,Wan'Dale Robinson,TEN,9,24,0,115,76,827,5,152.1,$14,,41,Tommy Tremble,CAR,5,33,24,192,2,41.6,$0,$0
42,Brady Cook,NYJ,13,34,20,203,1,1,2,6,0,11.2,$0,,42,J.K. Dobbins,DEN,10,154,736,5,22,15,74,1,120.3,$3,,42,Jayden Reed,GB,11,104,1,89,61,747,5,149.0,$13,,42,Elijah Arroyo,SEA,11,32,20,217,2,41.6,$0,$0
43,Jameis Winston,NYG,8,25,15,195,1,1,0,1,0,11.1,$0,,43,Jonathon Brooks,CAR,5,139,590,3,40,29,210,1,119.8,$2,,43,Josh Downs,IND,13,10,0,111,79,781,5,148.8,$13,,43,Theo Johnson,NYG,8,31,20,217,2,41.0,$0,$0
44,Kenny Pickett,CAR,5,27,17,170,1,1,1,3,0,10.2,$0,,44,Isiah Pacheco,DET,6,127,530,5,22,14,96,1,106.4,$0,,44,Malik Nabers,NYG,8,0,0,106,63,836,5,147.1,$13,,44,Austin Hooper,ATL,11,25,20,210,1,37.4,$0,$0
45,Will Howard,PIT,9,29,18,200,1,1,0,0,0,10.1,$0,,45,Alvin Kamara,NO,8,122,477,2,40,30,209,1,104.0,$0,,45,Brian Thomas,JAX,7,0,0,104,57,848,6,146.3,$13,,45,Max Klare,LAR,11,27,19,195,1,35.8,$0,$0
46,Carson Beck,ARI,14,45,28,289,0,1,2,6,0,9.9,$0,,46,Braelon Allen,NYJ,13,118,507,4,17,13,100,0,93.6,$0,,46,Jakobi Meyers,JAX,7,11,0,109,69,785,5,145.7,$13,,46,Eli Raridon,NE,11,26,19,189,1,35.2,$0,$0
47,Cade Klubnik,NYJ,13,23,13,135,1,1,2,8,0,8.3,$0,,47,Justice Hill,BAL,13,39,190,1,48,38,328,2,92.6,$0,,47,Jayden Higgins,HOU,8,0,0,106,64,800,5,144.7,$12,,47,Justin Joly,DEN,10,27,20,162,1,32.4,$0,$0
48,Tyson Bagent,CHI,10,12,8,96,1,0,5,17,0,7.9,$0,,48,Dylan Sampson,CLE,11,100,377,2,38,29,221,1,91.1,$0,,48,Chris Godwin,TB,10,0,0,106,70,777,5,144.6,$12,,48,Jake Tonges,SF,8,23,16,159,1,32.2,$0,$0
49,Spencer Rattler,NO,8,16,10,100,1,0,2,14,0,7.6,$0,,49,Tyrone Tracy,NYG,8,109,449,3,22,18,128,1,90.4,$0,,49,Xavier Worthy,KC,5,55,0,98,57,737,5,142.0,$12,,49,Eli Stowers,PHI,10,23,16,168,1,32.1,$0,$0
50,Teddy Bridgewater,DET,6,12,8,81,0,0,2,8,0,5.7,$0,,50,Woody Marks,HOU,8,103,396,3,32,22,166,1,89.1,$0,,50,Michael Wilson,ARI,14,0,0,107,63,769,5,137.0,$11,,50,Luke Musgrave,GB,11,21,16,158,1,29.8,$0,$0
51,Sam Howell,DAL,14,12,7,76,0,0,1,7,0,5.7,$0,,51,Samaje Perine,CIN,6,87,376,3,27,22,149,1,85.6,$0,,51,Romeo Doubs,NE,11,0,0,85,53,694,6,131.6,$9,,51,Mitchell Evans,CAR,5,23,17,138,1,29.5,$0,$0
52,Quinn Ewers,MIA,6,15,9,85,0,0,1,4,0,5.2,$0,,52,Brian Robinson,ATL,11,111,472,5,11,8,55,0,85.3,$0,,52,Omar Cooper,NYJ,13,9,0,105,62,725,4,131.1,$9,,52,Daniel Bellinger,TEN,9,23,15,146,1,27.8,$0,$0
